Sample,Date,Variety,Time,iPAR
A20WT1_1130,150820,WT,1130,1163.3121
A20WT2_1130,150820,WT,1130,1186.6774
A20WT3_1130,150820,WT,1130,1188.8551
A20WT1_1230,150820,WT,1230,1140.9573
A20WT2_1230,150820,WT,1230,1098.729
A20WT3_1230,150820,WT,1230,1113.1769
A20WT1_1630,150820,WT,1630,874.03711
A20WT2_1630,150820,WT,1630,857.49948
A20WT3_1630,150820,WT,1630,682.39776
A20MG1_1130,150820,MG,1130,1083.3186
A20MG2_1130,150820,MG,1130,1098.328
A20MG3_1130,150820,MG,1130,1156.264
A20MG1_1230,150820,MG,1230,1107.8889
A20MG2_1230,150820,MG,1230,1114.4211
A20MG3_1230,150820,MG,1230,1123.2661
A20MG1_1630,150820,MG,1630,961.67737
A20MG2_1630,150820,MG,1630,1001.3057
A20MG3_1630,150820,MG,1630,1011.8114
A21WT1_1130,150821,WT,1130,1057.183
A21WT2_1130,150821,WT,1130,1062.9947
A21WT3_1130,150821,WT,1130,1060.1841
A21WT4_1130,150821,WT,1130,1059.1995
A21WT5_1130,150821,WT,1130,1071.8698
A21WT6_1130,150821,WT,1130,1089.0318
A21WT1_1330,150821,WT,1330,1062.1895
A21WT3_1330,150821,WT,1330,1095.7097
A21WT2_1330,150821,WT,1330,1079.0251
A21WT4_1330,150821,WT,1330,1103.7158
A21WT5_1330,150821,WT,1330,1082.5802
A21WT6_1330,150821,WT,1330,1072.63
A21WT1_1530,150821,WT,1530,1059.7183
A21WT2_1530,150821,WT,1530,1065.3152
A21WT3_1530,150821,WT,1530,1060.9757
A21WT4_1530,150821,WT,1530,1064.1898
A21WT5_1530,150821,WT,1530,1049.4613
A21WT6_1530,150821,WT,1530,1017.6886
A21WT1_1800,150821,WT,1800,744.00141
A21WT2_1800,150821,WT,1800,777.15941
A21WT3_1800,150821,WT,1800,779.49833
A21WT4_1800,150821,WT,1800,683.50944
A21WT5_1800,150821,WT,1800,649.86788
A21WT6_1800,150821,WT,1800,693.08415
A21MG1_1130,150821,MG,1130,1045.2322
A21MG2_1130,150821,MG,1130,1048.018
A21MG3_1130,150821,MG,1130,1078.5598
A21MG4_1130,150821,MG,1130,1080.9004
A21MG5_1130,150821,MG,1130,1086.9917
A21MG6_1130,150821,MG,1130,1058.6034
A21MG1_1330,150821,MG,1330,1092.8203
A21MG2_1330,150821,MG,1330,1107.0683
A21MG3_1330,150821,MG,1330,1120.669
A21MG4_1330,150821,MG,1330,1126.6278
A21MG5_1330,150821,MG,1330,1096.9937
A21MG6_1330,150821,MG,1330,1091.2577
A21MG1_1530,150821,MG,1530,1063.1872
A21MG2_1530,150821,MG,1530,1039.0839
A21MG3_1530,150821,MG,1530,1037.5608
A21MG4_1530,150821,MG,1530,1072.6777
A21MG5_1530,150821,MG,1530,1056.8753
A21MG6_1530,150821,MG,1530,1043.2268
A21MG1_1800,150821,MG,1800,820.28348
A21MG2_1800,150821,MG,1800,794.0772
A21MG3_1800,150821,MG,1800,796.67877
A21MG4_1800,150821,MG,1800,756.52342
A21MG5_1800,150821,MG,1800,722.64629
A21MG6_1800,150821,MG,1800,776.82257
